id,city,price,tire_type,tire_width,height_ratio,wheel_diameter,new_car_price,turbo,finish_level,number_of_doors,number_of_seats,avrage_fuel_consumption,avrage_fuel_consumption_city,avrage_fuel_consumption_highway,fuel_type,gearbox,horsepower,max_speed,max_torque,number_of_cylinders,number_of_gears,rounds_per_minute_for_max_power,rounds_per_minute_for_max_torque,zero_to_100_km_in_seconds,automatic_high_beam,dead_vehicle_monitoring_system,independent_emergency_break,abs,turn_tracking_headlights,cancel_airbag,isofix,lane_departure_warning_system,number_of_airbags,seat_belt_warning_system,airpressure_sensors,road_sign_recognition,trunk_volume_in_liters,trunk_volume_in_seat_folding,front_seat_headroom_in_cm,rear_seat_headroom_in_cm,height_in_cm,front_seat_waist_in_cm,rear_seat_waist_in_cm,front_legroom_in_cm,rear_legroom_in_cm,length_in_cm,front_seat_shoulder_in_cm,rear_seat_shoulder_in_cm,width_in_cm,full_tank_volume_in_liters,minimal_weight_in_kg,maximal_weight_in_kg,wheelbase_in_cm,subwoofer,bluetooth,rear_control_air_conditioning,air_conditioning,number_of_air_conditioning_locations,cruise_control,driver_heated_seat,fog_lights,head_light,heated_front_passenger_seat,electric_windows,rain_sensors,heated_rear_passenger_seat,roof_window,dark_windows,hoops,carName,year,engine,current_km,hand,color,original_ownership,next_test,annual_licensing_fee
1560,12,75900,R,175,65,14,97000,0,LX,5,5,17.2,18.2,15.4,בנזין,1,84,189.119543317663,1195.6,4,4,6000,4000,10.783321799308,0,0,1,1,0,1,1,1,7,1,1,1,255,1010,100.5,96,148.5,124.5,123,108.5,82,359.5,130,128,159.5,35,959,1400,240,0,0,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,0,2,3,2021,1248,17000,2,73,4,2,1235
1562,12,67900,R,195,60,16,80500,1,ACTIVE GO,5,5,20.8,24.4,16.9,בנזין,1,110,188,2009,3,6,5500,1500,10.3,0,0,1,1,0,1,1,1,6,1,1,1,350,1194,89.8,87.6,155.6,140.8,138.6,87.4,90.8045212765958,415.9,136,133.7,173.9,50,1140,1690,253.7,0,1,0,0,1.830078125,0,0,1,הלוגן,0,4,0,0,0,1,2,285,2018,1199,74900,1,7,2,7,1353
1563,16,157395,R,245,70,16,182560,1,S,4,5,17.7453684922245,20.3863265306122,14.6269151138716,דיזל,0,163,189.119543317663,3528,4,6,3600,2000,10.783321799308,0,0,1,1,0,0,1,1,6,1,0,1,413.263624841572,1350.40191804708,98.7101224489796,95.1877685950413,178.5,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,520,141.245632973503,138.14139626352,186,76,1378.96836668819,3000,309.5,0,1,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,1,1,195,2018,1898,62315,1,1,2,4,2563
1564,9,84800,R,225,55,17,115395,0,LUXURY,4,5,16.9,20,13.3,בנזין,1,165,209,2058,4,6,6000,4000,10.5,0,0,1,1,0,1,1,0,6,1,1,0,438,1350.40191804708,97.5,94.2,145,139.755389908257,136.878071182549,107.3,98.4,487,145,141,184,62,1490,1903.18990889979,283,0,1,0,1,2,0,0,1,הלוגן,0,4,1,0,0,1,1,6,2017,1998,104000,1,17,1,1,2019
1565,31,130000,R,225,55,19,137000,1,TEKNA,5,7,16.4,17.2,14.9,דיזל,1,177,196,3724,4,6.06779661016949,3750,2000,10,1,0,1,1,0,1,1,1,6,1,1,1,135,1982,98.7101224489796,95.1877685950413,171.5,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,464,141.245632973503,138.14139626352,183,60,1830,2400,270.5,0,1,0,1,2,0,1,1,לד,1,4,1,0,1,1,1,7,2017,1995,110000,2,1,1,5,2019
1566,11,90900,R,195,65,15,99900,0,SUN,4,5,17.9,21.7,13.7,בנזין,1,132,190,1568,4,6.06779661016949,6400,4400,11.1,1,0,1,1,0,1,1,1,7,1,1,1,530,1350.40191804708,98.7101224489796,95.1877685950413,146.5,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,462,141.245632973503,138.14139626352,177.5,55,1205,1903.18990889979,270,0,1,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,1,2,0,2018,1598,72783,1,1,2,10,1604
1567,48,265000,R,265,60,18,430000,1,LS PREMIUM,4,5,17.7453684922245,20.3863265306122,14.6269151138716,דיזל,1,163,180,3528,4,6,3600,2000,10.783321799308,1,0,1,1,0,1,1,1,8,1,0,0,413.263624841572,1350.40191804708,98.7101224489796,95.1877685950413,179,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,526.5,141.245632973503,138.14139626352,187,76,2020,3100,312.5,0,0,0,1,1,1,0,1,לד,0,4,1,0,0,0,1,135,2021,1898,0,1,24,2,10,3366
1568,10,46630,R,185,65,15,91245,1,ACCESS,5,5,20.8,24.4,16.4,בנזין,1,110,194,2009,3,6,5500,1500,9.8,0,0,1,1,0,1,1,1,6,1,1,1,311,1152,88.2,86.1,146,140.8,138,87.4,90.8045212765958,397.3,136,133.5,173.9,50,1090,1650,253.8,0,1,0,0,1.830078125,0,0,0,הלוגן,0,2,0,0,0,1,2,108,2017,1199,123262,1,26,3,13,1102
1569,16,87045,R,225,45,19,89145,1,ACENTA PR,5,5,17.2,18.5,15.2,בנזין,1,115,173,1617,4,6.06779661016949,5200,1750,12.9,1,0,1,1,0,1,1,1,6,1,1,1,401,1350.40191804708,98.7101224489796,95.1877685950413,159,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,437.7,141.245632973503,138.14139626352,180.6,55,1360,1880,264.6,0,1,0,1,2,0,1,1,לד,1,4,1,0,0,1,1,185,2016,1197,86932,2,1,1,5.24113968033357,1824.71785962474
1573,51,37000,R,225,50,17,48000,1,ENJOY,5,5,14.7,18.5,11,בנזין,1,140,198,2156,4,6,4900,1850,10.6,0,0,1,1,0,1,1,1,6,1,0,0,500,1500,98.1,97.7,153.5,136.4,132.2,107.4,87.8,469.8,140,134.3,181.4,56,1471,2040,268.5,0,0,0,1,2,0,0,1,הלוגן,0,4,0,0,0,1,2,151,2016,1364,139000,2,74,2,3,1604
